iter	RMSE
0	2.909600722
1	2.84116229
2	2.776136157
3	2.715702711
4	2.665972577
5	2.60357171
6	2.55292036
7	2.507795807
8	2.450360034
9	2.400532925
10	2.355270075
11	2.315527115
12	2.269950246
13	2.230735363
14	2.195611615
15	2.157034279
16	2.113711823
17	2.079902207
18	2.039763378
19	2.018981837
20	1.98917006
21	1.951035687
22	1.925059809
23	1.891214864
24	1.865761836
25	1.838354244
26	1.803851708
27	1.780364766
28	1.757053661
29	1.736006538
30	1.715136285
31	1.696897567
32	1.679386455
33	1.664415075
34	1.646118343
35	1.633200002
36	1.608485096
37	1.588807526
38	1.575054943
39	1.550948869
40	1.530125084
41	1.511976653
42	1.49640803
43	1.471755362
44	1.456110392
45	1.445035244
46	1.432020085
47	1.421745622
48	1.410588065
49	1.393181388
50	1.378231414
51	1.371532102
52	1.357867323
53	1.348443826
54	1.338375516
55	1.31979161
56	1.304052702
57	1.294127998
58	1.284076672
59	1.274495445
60	1.25638099
61	1.250961168
62	1.242501592
63	1.227661299
64	1.211891953
65	1.198562939
66	1.191423062
67	1.175960676
68	1.169717702
69	1.165668117
70	1.151575964
71	1.140800793
72	1.129675437
73	1.119630706
74	1.110277006
75	1.106015545
76	1.096590391
77	1.085951152
78	1.078804743
79	1.072905404
80	1.067861616
81	1.06178195
82	1.055190601
83	1.049600791
84	1.047290828
85	1.037139229
86	1.034632885
87	1.024011992
88	1.016907532
89	1.012299341
90	1.008925171
91	1.000584415
92	0.9975347794
93	0.9897937418
94	0.9871779896
95	0.9810558447
96	0.9748617476
97	0.9707992926
98	0.9632197482
99	0.9565799006
100	0.9505068991
101	0.9452957982
102	0.9406855503
103	0.9377655469
104	0.9331082269
105	0.928673792
106	0.924106276
107	0.920043752
108	0.9113382202
109	0.9088847067
110	0.905744859
111	0.9020612174
112	0.8987786471
113	0.8937881036
114	0.8895795743
115	0.8844050238
116	0.8816661683
117	0.8788948438
118	0.8746587433
119	0.8693484183
120	0.8645502082
121	0.8592452203
122	0.856641004
123	0.8530139011
124	0.8481056816
125	0.8452822008
126	0.8415063192
127	0.8392396383
128	0.8331936417
129	0.8315967346
130	0.8298293829
131	0.8284808889
132	0.8261270481
133	0.824590701
134	0.8214929747
135	0.8151883126
136	0.8115207498
137	0.8092567472
138	0.8069718759
139	0.803133151
140	0.7980064112
141	0.7919455919
142	0.7899883479
143	0.7847783732
144	0.7816964809
145	0.7759404136
146	0.7735992461
147	0.7705637325
148	0.7682635867
149	0.7662730465
150	0.7631331509
151	0.7619130766
152	0.7603386096
153	0.7573120159
154	0.7564439082
155	0.754411349
156	0.7514835613
157	0.749106703
158	0.7453600235
159	0.7426714387
160	0.7414095499
161	0.7405830842
162	0.7377199461
163	0.7356142496
164	0.7330337034
165	0.7284053921
166	0.7233845809
167	0.7194440611
168	0.7157650839
169	0.7131262037
170	0.7096100859
171	0.7070371198
172	0.7044755472
173	0.7029519518
174	0.7008572601
175	0.6994779285
176	0.6954245716
177	0.6919793118
178	0.6897992075
179	0.6888591767
180	0.6865017651
181	0.6854294651
182	0.6834925233
183	0.6810270736
184	0.6784897316
185	0.6749311631
